title,artist,creator,tags,num_timing_points,num_uninherited_points,mp3_duration_seconds,song_name,variation_rating_uninherited
Rightfully,Mili,Okoratu,Anime English opening full goblin slayer momocashew yamato kasai HAMO Shoto Yoshida Ame Yamaguchi  Okorin Niva Nivalis Kalibe Icekalt Testo projectmili theme souka,377,20,208.16045351473923,875117,0.0912757427224507
Yukitoki (TV Size),yanaginagi,xChippy,Oregairu Icemixxa Opening My Youth Romantic Comedy Is Wrong As I Expected Machigatte Iru Brains Base,69,25,89.98133786848072,87616,0.2667219733393949
Flower,THE ORAL CIGARETTES,fritz_divine,Rock Black Memory DivineEnigma Monarch Agatsu Stixy Collab Before It's Too Late japanese,192,45,265.2734693877551,878327,0.1658665681930083
x.U.,SawanoHiroyuki[nZk]:Gemie,tomadoi,owari no seraph of the end kalibe opening chaoticred yudragen shiinoha kotone bite you death byd pono full version,93,2,285.9102040816326,878907,0.0034976016445865
Outsider,Eve,AirinCat,otogi おとぎ utaite numa mah KaiseiP 棚橋 UNA 信仁 japanese jpop j-pop,218,16,208.632,879429,0.0718969285632117
Fu re te Fu re ru,TK from Ling tosite sigure,Mao,unravel tokyo ghoul single lasse lmt rock japanese,295,161,218.80163265306123,880806,0.7312559694364852
Chikyuu Saigo no Kokuhaku o,yuikonnu,Toyosaki Aki,toooooon enjoy momochy reillia curi [c_u_r_i] lukas [_l_u_k_a_s_] nanashima asami narcissu hatsuko ke-sanβ suzumu kemu voxx vocaloid megpoid gumi nico douga sound voltex jrock japanese 歌ってみた,26,3,272.128,880938,0.0073494825964252
Snow Halation (feat. BeasttrollMC),Will Stetson,Sotarks,Love Live! µ's u's 2nd season dictate thinking fam edit remix mix cut short ver version christmas noel collab collaboration girls anime fortnite trynna seto_kousuke seto kousuke ayyri eiri- yuii- shunao shogunmoon lasse snownino_ namki akitoshi corinn -laura- doormat toybot kalibe reform kujinn onlybiscuit nevo armin a_r_m_i_n single,32,2,120.9208163265306,881764,0.0082698747029596
Gin no Kisei (TV Size),soraru,Daisuke,zhu donjuan grindle walaowey matsubara kanon habiholic starset hb24 orcbolg beardcutter Goblin Slayer ED Ending Ohnishi Shogo from agehasprings Harumaki Gohan silver oath 大西省吾 はるまきごはん anime japanese,18,7,92.09,882398,0.065153654034097
Phantom Blood,Unlucky Morpheus,IsomirDiAngelo,seto kousuke atalanta azzedd 天外冬黄 fuki commune fuyuki tenge dojin metal japanese rock vampir,95,15,241.68489795918367,885158,0.0579266645049719
Feuer frei!,Rammstein,Frey,PeterEU Peter Mutter industrial metal NDH rock German cut version fire free,52,5,139.78058333333334,887102,0.0286162777734389
katharsis,TK from Ling tosite sigure,Foxy Grandpa,FoxyGrandpa tokyo ghoul re kaneki ken haise sasaki sui ishida Stratos Mentai ThePython Mayflower im hide,763,104,262.19102040816324,889261,0.3928433545880243
Black Night Town (TV Size),Kondo Akihisa,Net0,shippuden ending ed 27 Ataraxia Trynna anime j rock pop swing Ryo Eguchi Yoshiaki Dewa,232,4,94.12530612244898,892003,0.03187240630163
Izayoi Sakura,kozato,Gust,milr_ DalouBot Oiso Pata-Mon Firika oriental JP Spiritual Core BJC7,235,8,213.76,893573,0.0327470059880239
own phrases,wavforme x Annabel,Mordred,ラックガール バース・イン・ザ・ダーク pv main theme song taishi full version narcissu,52,3,323.265306122449,894026,0.0061868686868686
asphyxia,Co shu Nie,Gillstar,tokyo ghoul re 東京喰種トーキョーグール:re deca impurepug sparhten semaphore fser m3gb3g neonlights amity fixxis kowari anime japanese,109,37,174.83755102040817,895512,0.2059054235768713
"Natsu no Owari, Koi no Hajimari",yuikonnu,Gottagof4st,yuiko CrazyrabbitKGe Nao Tomori Serizawa haruki ametrin Jack J_a_c_k ggf gottagofast,190,18,175.41746031746032,897698,0.0969116755494828
worldenddominator,zts,deetz,07th Expansion ryukishi07 umineko no naku koro ni pandahero icekalt dada okoratu nemis okorin world end dominator video game instrumental,21,4,245.09412698412697,897884,0.0122401953768328
