title,artist,creator,tags,num_uninherited_points,mp3_duration_seconds,song_name,variation_rating_uninherited
Black Rover (TV Size),Vickeblanka,Nevo,anime japanese rock xchorse wanpachi Cycopton addy2607 grwvy groovy clover hobbes2 byd bite you death jrock j-rock,2,88.35265306122449,1224232,0.011318279251977235
Overture,MuryokuP,Sephibro,your pianist piano instrumental megurine luka vocaloid pagno galvenize nemis,2,94.04081632653062,122520,0.010633680555555554
JUSTadICE,Oomori Seiko,Nevo,Black Clover full version anime japanese rock arc [arc] addy2607 bossandy Rosiie jrock j-rock op7 opening xchorse,2,232.36142857142858,1230998,0.004303640264858318
Endless Tears,CLIFF EDGE feat. Nakamura Maiko,Rakuen,Best of Love is a beautiful pain 爱你真的好痛苦 _AI xXCrystalMoonAnimeXx Tari,3,264.33306122448977,123489,0.007566212076292125
Bubblegum K.K.,Hikaru Station,Andrea,Remix Cover Video Game Japanese Pop Remix osuplayer111 Trifect Datenkou Ronsrogue Meelaffs Riguruma K.K. Slider Francine Chrissy けけアイドル Keke Aidoru とたけけ Totakeke,2,147.1477551020408,1235574,0.006795890289366236
Sentimental Love,mimimemeMIMI,Tari,a town where you live 君のいる町 opening tsukuyomi baldrace eyecandy yuka DJNightmare,2,285.44290249433107,123956,0.0035033276051411374
Blue Bird (TV Size),Ikimono Gakari,arken1015,taiko lepidopodus op3,2,87.74529166666666,12431,0.011396622895720427
ROUGH DIAMONDS (TV Size),SCREEN mode,Cris-,Hazu- Tatan browiec Shokugeki no Soma Souma Ni no Sara Food Wars Opening 3 Season 2 J.C.Staff Anime Japanese Rock J-Rock JRock 1/1 イチブンノイチ,2,88.78911564625851,1244230,0.01126264174072939
DICE,BAND-MAID,Lasse,bandmaid world domination japanese rock english,2,246.36,1248526,0.004059100503328462
Horrible Kids,Set It Off,My Angel Ram,short cut ver version english rock alternative pop punk male vocals Kuki1537,2,69.72081632653061,1249048,0.014342918696140877
Netsujou no Spectrum (TV Size),Ikimonogakari,GIDZ,七つの大罪 the seven deadly sins OP Opening short japanese jpop anime Elizabeth Meliodas Diane Gowther Ban King Merlin PaRaDogi,2,90.41571428571429,1250507,0.01106002433205353
Ambivalent,Eve,climbx3145,mecha-ude mechanical arms anime otogi おとぎ  japanese pop jpop j-pop utaite male vocal vocalist,4,221.98857142857142,1250977,0.013514209225700166
Polaris (Cut Ver.),BLUE ENCOUNT,Irohas,mugiwarasekai djulus kudosu soop so0p fuyuyu- mamayu kanau silky kalibe japanese rock j-rock jrock mha bnha my hero opening boku no hero academia season 4,2,113.83299319727891,1251736,0.008784799309168163
Sulfur,penoreri,Realazy,corsace gs fm3 luminous sky deviouspanda deca impurepug nao tomori naotoshi electronic video game instrumental,2,142.41333333333333,1252844,0.007021814436850482
Righteous,Juice WRLD,Smoke,hip hop hip-hop rap world english legends never die jasontime jasontime12345,3,242.2,1253361,0.008257638315441783
Overdrive,Harada Hitomi,Shirahane Suou,j-rock jrock ヒゲドライバー hige driver ゆよゆっぺ yuyoyuppe ヴァルキリードライヴ マーメイド japanese anime opening rock 百合 yuri addy2607 fuju maot nexusqi,2,243.38285714285715,1254187,0.004108752817430503
Xevel,Tatsh,emu1337,electronic english tynamo -tynamo ratina0 sleepy sleepymateo TatshMusicCircle Xepher SOUND VOLTEX IV HEAVENLY HAVEN maimai MiLK PLUS GROOVE COASTER STARLIGHT ROAD グルーヴコースター 4 スターライトロード,2,141.5857142857143,1254404,0.007062859449096963
FREE,POLKADOT STINGRAY,Plaudible,alternative japanese pop rock flake lokidoki 何者 Nanimono Nani mono What 3rd third full album j-pop jpop jrock j-rock,2,173.58367346938775,1261605,0.005760910458991723
SAVIOR OF SONG (TV Size),nano feat. MY FIRST STORY,HabiHolic,opening aoki hagane no arpeggio of blue steel W_h_i_t_e Trust kantokun Simple_Star,2,90.00041666666667,126583,0.011111059671020041
NAVIGATOR (TV Size),SixTONES,Yahuri,six tones the millionaire detective fugou keiji balance unlimited fugō 神戸大助 kambe daisuke 加藤 春 kato haru japanese anime pop jpop alternator stones ストーンズ Sutōnzu sutoonzu male vocalist vocals 高地 優吾 Yugo Kochi 京本大我 京本 大我 Taiga Kyomoto 田中 樹 田中樹 Juri Tanaka 松村 北斗 松村北斗 Hokuto Matsumura Lewis Masaya Jesse ルイス・まさや・ジェシー ルイス まさや ジェシー Shintaro Morimoto 森本慎太郎 森本 慎太郎,2,94.52709750566893,1268188,0.010578977101672125
Ego mo Id mo Tanjun ni,THE BINARY mido,kuyusu,NeonLights Dashyy- moph Wanpachi Cycopton DjulusMyMommy posydomojka Simple Ego and Id rock Japanese YURRY CANON yurrycanon ユリイ・カノン mido Jiu melon BNRY-01 BNRY-02 BNRY-05,2,246.0734693877551,1268824,0.004063826963906582
Shut up,Takayan,wafer,japanese hip hop rap male vocals goopert chompy batatin clubber chigamymommy kami no kotoba,2,111.0084126984127,1269896,0.00900832626727847
Acacia,BUMP OF CHICKEN,Sotarks,ポケモン pokemon スペシャルミュージックビデオ japanese pop jpop j-pop male vocalist pocket monsters special music video pokémon ! ポケットモンスター toy’s factory chiga mamayu kanau fuyuyu- silky kowari ren derandom otaku basensorex,2,155.8906875,1272018,0.006414751362232589
Untitled world,ReoNa,Petal,Arknights アークナイツ Japanese Video Game gacha agatsu matha gary00737 アンタイトル ワールド 草野 華余子 (LIVE LAB.) 毛蟹 Akita Horie 堀江晶太 rock jpop j-pop pop j-rock jrock short cut version レオナ,2,90.30530612244898,1274790,0.011073546427538328
Kaikai Kitan (TV Size),Eve,Irohas,mugiwarasekai pentori jujutsu kaisen sorcery fight opening pop j-pop jpop japanese anime,2,90.81647916666667,1276213,0.011011217448375169
